Month,BHARTI INFRATEL LTD.18ER,HERO MOTOCORP LTD.18ER,POWER GRID CORPORATION OF INDIA LTD.18ER,MARUTI SUZUKI INDIA LTD.18ER,ASIAN PAINTS LTD.17ER,AXIS BANK LTD.17ER,BHARTI INFRATEL LTD.17ER,HERO MOTOCORP LTD.17ER,BHARTI AIRTEL LTD.17ER,MARUTI SUZUKI INDIA LTD.17ER,ASIAN PAINTS LTD.16ER,SUN PHARMACEUTICAL INDUSTRIES LTD.16ER,HERO MOTOCORP LTD.16ER,HCL TECHNOLOGIES LTD.16ER,MARUTI SUZUKI INDIA LTD.16ER,ASIAN PAINTS LTD.15ER,RELIANCE INDUSTRIES LTD.15ER,BHARTI INFRATEL LTD.15ER,HERO MOTOCORP LTD.15ER,POWER GRID CORPORATION OF INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,HCL TECHNOLOGIES LTD.15ER,MARUTI SUZUKI INDIA LTD.15ER,ASIAN PAINTS LTD.14ER,HERO MOTOCORP LTD.14ER,POWER GRID CORPORATION OF INDIA LTD.14ER,NESTLE INDIA LTD.14ER,BHARTI AIRTEL LTD.14ER,HCL TECHNOLOGIES LTD.14ER,MARUTI SUZUKI INDIA LTD.14ER,meanER
January-2015,,,,,,,,,,,,,,,,-14.06,-2.72,-6.36,7.54,-7.17,-5.64,-12.42,-9.52,,,,,,,,-6.29
February-2015,,,,,,,,,,,,,,,,4.56,5.36,-2.7,6.51,-6.02,4.17,-12.62,0.74,,,,,,,,0.0
March-2015,,,,,,,,,,,,,,,,1.17,4.8,-4.65,1.49,7.43,-10.27,51.51,-2.24,,,,,,,,6.15
April-2015,,,,,,,,,,,,,,,,5.67,-4.63,-4.26,11.85,2.0,3.11,10.22,-0.89,,,,,,,,2.88
May-2015,,,,,,,,,,,,,,,,-3.16,-1.66,-19.43,-15.74,-0.98,-11.44,-15.04,-1.43,,,,,,,,-8.61
June-2015,,,,,,,,,,,,,,,,4.14,-14.06,6.82,6.37,3.2,1.27,8.97,-6.27,,,,,,,,1.31
July-2015,,,,,,,,,,,,,,,,-16.83,-0.12,-0.34,-5.95,-1.76,0.31,-8.2,-7.65,,,,,,,,-5.07
August-2015,,,,,,,,,,,,,,,,3.73,14.46,10.8,10.36,7.7,15.31,2.51,3.76,,,,,,,,8.58
September-2015,,,,,,,,,,,,,,,,0.88,-0.43,11.21,0.07,-1.15,4.65,-1.09,-12.52,,,,,,,,0.2
October-2015,,,,,,,,,,,,,,,,1.47,-10.15,-9.61,-7.9,2.57,-3.18,11.46,5.13,,,,,,,,-1.28
November-2015,,,,,,,,,,,,,,,,-1.42,-2.13,1.07,-4.55,-5.59,4.09,-0.26,-2.88,,,,,,,,-1.46
December-2015,,,,,,,,,,,,,,,,-5.16,-4.61,-11.35,0.27,-3.86,-1.61,1.88,-0.84,,,,,,,,-3.16
February-2014,,,,,,,,,,,,,,,,,,,,,,,,-0.15,0.27,0.94,3.86,8.77,-7.6,3.0,1.3
March-2014,,,,,,,,,,,,,,,,,,,,,,,,-15.55,-15.66,-11.05,-3.27,-10.92,11.77,-24.28,-9.85
April-2014,,,,,,,,,,,,,,,,,,,,,,,,7.57,3.48,-0.67,4.72,-2.74,-0.95,2.71,2.02
May-2014,,,,,,,,,,,,,,,,,,,,,,,,-0.85,-6.83,-15.13,-3.49,-4.99,-0.98,-18.33,-7.23
June-2014,,,,,,,,,,,,,,,,,,,,,,,,-16.34,-12.09,-14.29,-0.15,2.06,-5.59,-7.44,-7.69
July-2014,,,,,,,,,,,,,,,,,,,,,,,,-6.15,1.19,4.6,-3.62,-10.6,-3.9,-3.53,-3.14
August-2014,,,,,,,,,,,,,,,,,,,,,,,,0.79,-0.47,2.6,-17.04,0.78,-4.85,-10.29,-4.07
September-2014,,,,,,,,,,,,,,,,,,,,,,,,-0.84,-8.97,-4.64,0.32,-9.35,-5.21,-10.06,-5.54
